PBJP,-7.136277,325.126576,49.053200
PEAF,-7.764110,322.368044,533.013800
PEJO,-35.806324,298.105361,110.126590
PEPE,-9.384417,319.493876,369.098670
PERA,4.792495,284.310491,1496.745890
PI01,-5.179942,279.372231,52.193950
PICR,-10.430188,314.826796,443.603130
PIE1,34.301506,251.881074,2347.727100
PIFL,-6.788126,316.958843,109.494200
PISR,-9.030692,317.297241,366.760430
PITN,-5.102480,317.206970,67.976400
PJEC,-1.552403,279.574804,146.708970
PMB1,5.828161,304.855136,-29.316090
PMEC,8.488272,279.671259,87.726460
POAL,-30.074042,308.880235,76.727600
POLI,-23.555647,313.269688,730.609330
POPA,2.443114,283.398794,1782.250140
POVE,-8.709336,296.103680,119.592940
PPTE,-22.119904,308.591466,431.025090
PRCV,-24.962753,306.533670,777.296990
PREC,-1.707818,282.036686,904.305200
PRGU,-25.383997,308.512422,1043.134780
PRMA,-23.409687,308.061576,543.344260
PRNA,-31.781435,299.530560,92.380090
PSTO,1.211711,282.722919,2569.110690
PTEC,-1.058039,279.525438,63.450910
PUAR,8.310434,277.169590,35.261190
PUNT,9.979878,275.167864,23.650710
PUR3,18.462976,292.933042,89.554180
QUEM,-0.237051,281.502651,3054.664380
QUI1,-0.215157,281.506392,2922.546180
QUI3,-0.139579,281.532721,2927.475250
QUIB,5.699637,283.343270,57.936480
QVEC,-1.012256,280.530430,115.364940
RDSD,18.461398,290.088677,-9.185810
RECF,-8.050964,325.048484,20.159650
RECO,-29.146358,300.335570,76.349760
RIDC,9.919684,275.950928,1212.152280
RIO2,-53.785472,292.248882,32.039490
RIOB,-9.965458,292.197188,172.636300
RIOD,-22.817844,316.693723,8.628810
RIOG,-53.785473,292.248882,32.023790
RIOH,11.513216,287.130298,12.483950
RIOP,-1.650596,281.348893,2817.186990
RJCG,-21.764865,318.673844,9.935450
RNMO,-5.204233,322.674535,23.397610
RNNA,-5.836140,324.792292,45.956790
RNPF,-6.131766,321.793171,224.252510
ROCD,-13.122275,299.456089,451.706290
ROGM,-10.784242,294.669392,157.775220
ROJI,-10.863900,298.040284,182.872700
ROSA,-22.523303,307.047911,299.707550
RSAL,-29.789444,304.231160,117.174330
RSCL,-28.141879,305.245240,280.893810
RSPE,-31.802448,307.582371,37.095150
RWSN,-43.298881,294.892752,27.369480
SAGA,-0.143854,292.942219,94.911160
SAGE,9.373138,276.295745,723.164240
SALU,-2.593459,315.787521,18.983410
SALV,-13.008670,321.487641,35.731980
SAMA,11.225247,285.812907,22.727390
SANT,-33.150289,289.331445,723.045420
SAVO,-12.939246,321.567746,76.305190
SCAQ,-26.393755,311.262559,17.245390
SCCH,-27.137565,307.400493,744.214590
SCEC,-0.902688,270.385016,7.931240
SCFL,-27.599378,311.480466,17.033080
SCLA,-27.792835,309.695738,940.684990
SCRZ,-17.796791,296.840326,442.100660
SCUB,20.012063,284.237684,20.923850
SEAJ,-10.929631,322.895722,1.615970
SEEC,-2.219631,279.096008,29.731900
SIEC,-3.274504,280.685013,1657.836480
SINC,9.315591,284.612316,201.256180
SJRP,-20.785518,310.640049,535.917930
SJSP,-23.207131,314.138262,605.071980
SL01,-33.156357,293.685990,864.774010
SM01,-6.022045,283.011948,884.914660
SMAR,-29.718924,306.283407,113.100790
SMRT,18.042266,296.891131,-32.452340
SNLR,1.292516,281.152995,23.058880
SNSN,5.715071,284.691666,2550.723750
SPAR,-21.184665,309.560212,410.326030
SPBO,-22.852466,311.567699,803.104730
SPBP,-22.925586,313.465529,893.689250
SPC1,-22.816284,312.937306,622.969020
SPCA,-22.816285,312.937306,622.960960
SPDR,-21.461603,308.445742,368.965280
SPFE,-20.262873,309.771304,496.101730
SPFR,-20.510572,312.613358,1030.954230
SPJA,-21.241072,311.713297,570.184910
SPLI,-21.665202,310.266304,463.259400
SPPI,-22.703047,312.376379,561.848050
SPS1,-23.479190,312.583164,633.766750
SPTU,-21.929116,309.507630,508.771200
SRLP,-36.621499,295.719595,223.846730
SRNW,5.945084,303.008070,-18.504290
SRZN,5.455643,304.796924,-17.247860
SSA1,-12.975157,321.483515,-2.098600
SSIA,13.697085,270.883404,626.618900
SVIC,-26.993713,305.512479,553.242850
TAMP,22.278321,262.135973,21.053680
TAXI,14.034787,269.534719,47.268840
TEG2,14.090074,272.794355,951.286780
TERO,-27.789145,295.743219,221.958550
TNEC,-0.990019,282.183583,546.967330
TOGU,-11.746705,310.950901,272.588690
TOL2,19.293234,260.356528,2651.735430
TOPL,-10.171053,311.669321,256.552270
TUCU,-26.843256,294.769648,485.053820
TUNA,5.531329,286.636118,2831.867080
UBA1,-23.500176,314.881098,6.181570
UBE1,-18.889534,311.683028,791.733320
UBER,-18.889535,311.683028,791.787040
UC01,-8.383874,285.468819,182.827250
UCOR,-31.434960,295.806494,462.779700
UCRI,9.936182,275.948039,1233.888690
UEPP,-22.119905,308.591466,430.940060
UFPR,-25.448368,310.769045,925.786800
UGTO,21.002710,258.728336,2062.274260
UNPA,-51.647992,290.791346,34.963770
UNRO,-32.959353,299.371575,66.886850
UNSA,-24.727457,294.592356,1257.805450
UNSJ,-31.541258,291.422939,708.917590
URUS,-17.952801,292.885612,3767.306070
USLP,22.144233,258.984331,1892.857380
UYAR,-30.411746,303.509319,146.443860
UYBA,-62.184497,301.097530,33.676460
UYCL,-32.365739,305.785972,134.661900
UYCO,-34.462986,302.164618,49.323730
UYDU,-33.315885,304.397565,164.914230
UYFD,-34.096691,303.810632,87.914600
UYFS,-33.515979,303.113103,165.527180
UYLA,-34.362774,304.751209,148.338830
UYLP,-34.655701,305.857903,20.100350
UYMO,-34.888318,303.740118,158.099490
UYNI,-20.465944,293.174043,3709.914960
UYPA,-32.291249,301.932811,71.841610
UYPT,-32.800560,303.490183,91.102170
UYRI,-30.895761,304.440885,251.562280
UYRO,-34.001005,306.445174,58.984690
UYRV,-31.772389,305.311885,274.355260
UYSA,-31.375171,302.040220,79.024750
UYSG,-32.617428,304.156395,107.389010
UYSJ,-34.323733,303.290904,55.369590
UYSO,-33.261261,301.986382,80.735350
UYTA,-31.683066,304.062467,186.962840
UYTD,-30.946269,302.475498,75.658450
UYTT,-33.241298,305.619637,68.925990
VALL,10.473965,286.748030,208.502740
VALP,-33.027244,288.373906,31.391560
VARG,-21.542684,314.565124,958.639880
VBCA,-38.700769,297.730773,59.482070
VERA,10.853618,275.130959,64.314000
VICO,-20.761501,317.130011,665.936700
VIL2,17.990411,267.068902,27.758350
VIVI,4.074661,286.416007,407.279770
YCBA,-22.017103,296.320015,659.662380
YEMA,-24.280730,298.763494,185.495540
ZARZ,4.396575,283.932433,954.484770
